Date,Confirmed,Deaths,Recovered,max,min,cloud,rain,Province/State
time,continuous,discrete,discrete,continuous,continuous,,,string
,,,,,,,,meta
2/27/2020 22:00,139,0,1,1,-3,1,0,"['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA'] ; ['Boston, MA']"
2/28/2020 22:00,9,0,0,6,-3,0,0,"['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Portland, OR'] ; ['Portland, OR'] ; ['Snohomish County, WA']"
2/29/2020 22:00,21,0,0,13,3,0,0,"['Seattle, WA'] ; ['Chicago, IL'] ; ['Providence, RI'] ; ['Snohomish County, WA'] ; ['Seattle, WA']"
3/1/2020 22:00,440,0,0,15,9,0,0,"['New York City, NY'] ; ['New York City, NY'] ; ['New York City, NY'] ; ['Hillsborough, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Sarasota, FL'] ; ['Portland, OR'] ; ['Providence, RI'] ; ['Providence, RI'] ; ['Providence, RI'] ; ['Providence, RI'] ; ['Providence, RI'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Unassigned Location (From Diamond Princess)'] ; ['Umatilla, OR'] ; ['Umatilla, OR'] ; ['Umatilla, OR'] ; ['Umatilla, OR'] ; ['King County, WA'] ; ['Umatilla, OR'] ; ['Umatilla, OR'] ; ['Umatilla, OR'] ; ['Umatilla, OR'] ; ['Santa Clara, CA'] ; ['Cook County, IL'] ; ['Cook County, IL'] ; ['Grafton County, NH'] ; ['Cook County, IL'] ; ['San Mateo, CA'] ; ['Sonoma County, CA'] ; ['Snohomish County, WA'] ; ['Sonoma County, CA'] ; ['Sonoma County, CA'] ; ['Sonoma County, CA'] ; ['Sonoma County, CA'] ; ['Sonoma County, CA'] ; ['Sonoma County, CA']"
3/2/2020 22:00,94,0,0,12,7,0,0,"['Placer County, CA'] ; ['Placer County, CA'] ; ['San Mateo, CA'] ; ['San Mateo, CA'] ; ['San Mateo, CA'] ; ['San Mateo, CA'] ; ['San Mateo, CA'] ; ['San Mateo, CA'] ; ['San Mateo, CA'] ; ['Washington County, OR'] ; ['Washington County, OR'] ; ['Washington County, OR'] ; ['Washington County, OR'] ; ['Fulton County, GA'] ; ['Fulton County, GA'] ; ['Fulton County, GA'] ; ['Fulton County, GA'] ; ['Norfolk County, MA'] ; ['Norfolk County, MA'] ; ['Norfolk County, MA'] ; ['Westchester County, NY'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Madison, WI'] ; ['Maricopa County, AZ'] ; ['Maricopa County, AZ'] ; ['Maricopa County, AZ'] ; ['Hillsborough, FL'] ; ['Hillsborough, FL'] ; ['Hillsborough, FL'] ; ['Hillsborough, FL'] ; ['Hillsborough, FL'] ; ['Hillsborough, FL'] ; ['Hillsborough, FL'] ; ['King County, WA'] ; ['Snohomish County, WA'] ; ['Wake County, NC'] ; ['Wake County, NC'] ; ['Wake County, NC'] ; ['Wake County, NC'] ; ['Wake County, NC'] ; ['Wake County, NC'] ; ['Wake County, NC']"
3/3/2020 22:00,113,0,0,10,3,0,0,"['Grafton County, NH'] ; ['Santa Clara, CA'] ; ['Grafton County, NH'] ; ['Grafton County, NH'] ; ['Santa Clara, CA'] ; ['Grafton County, NH'] ; ['Grafton County, NH'] ; ['Berkeley, CA'] ; ['Berkeley, CA'] ; ['Berkeley, CA'] ; ['Berkeley, CA'] ; ['Orange County, CA'] ; ['Orange County, CA'] ; ['Orange County, CA'] ; ['Orange County, CA'] ; ['Orange County, CA'] ; ['Contra Costa County, CA'] ; ['Contra Costa County, CA'] ; ['Los Angeles, CA'] ; ['Placer County, CA'] ; ['Placer County, CA'] ; ['King County, WA'] ; ['Snohomish County, WA'] ; ['Westchester County, NY']"
3/4/2020 22:00,99,0,0,7,2,0,0,"['Fort Bend County, TX'] ; ['Fort Bend County, TX'] ; ['Cook County, IL'] ; ['Cook County, IL'] ; ['Santa Rosa County, FL'] ; ['Santa Rosa County, FL'] ; ['Santa Rosa County, FL'] ; ['Grant County, WA'] ; ['Grant County, WA'] ; ['Grant County, WA'] ; ['Snohomish County, WA'] ; ['Grant County, WA'] ; ['San Francisco County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Diego County, CA'] ; ['San Francisco County, CA'] ; ['Clark County, NV'] ; ['Clark County, NV'] ; ['Clark County, NV'] ; ['Bergen County, NJ'] ; ['Bergen County, NJ'] ; ['New York City, NY'] ; ['Los Angeles, CA'] ; ['Westchester County, NY'] ; ['Queens County, NY'] ; ['Harris County, TX']"
3/5/2020 22:00,212,0,0,8,2,0,0,"['King County, WA'] ; ['Santa Clara, CA'] ; ['Santa Clara, CA'] ; ['Williamson County, TN'] ; ['Williamson County, TN'] ; ['Williamson County, TN'] ; ['Williamson County, TN'] ; ['Williamson County, TN'] ; ['Unassigned Location, WA'] ; ['Unassigned Location, WA'] ; ['Unassigned Location, WA'] ; ['Unassigned Location, WA'] ; ['Middlesex County, MA'] ; ['Summit County, CO'] ; ['Summit County, CO'] ; ['Summit County, CO'] ; ['Summit County, CO'] ; ['Norwell County, MA'] ; ['Montgomery County, MD'] ; ['Montgomery County, MD'] ; ['Nassau County, NY'] ; ['Delaware County, PA'] ; ['Delaware County, PA'] ; ['Delaware County, PA'] ; ['Delaware County, PA'] ; ['Harris County, TX'] ; ['Westchester County, NY'] ; ['Chatham County, NC'] ; ['Wayne County, PA'] ; ['Chatham County, NC'] ; ['Wayne County, PA'] ; ['Chatham County, NC'] ; ['Chatham County, NC'] ; ['Wayne County, PA'] ; ['Wayne County, PA'] ; ['Marion County, IN'] ; ['Marion County, IN'] ; ['Marion County, IN'] ; ['Marion County, IN'] ; ['Floyd County, GA'] ; ['Suffolk County, MA'] ; ['Maricopa County, AZ'] ; ['Norfolk County, MA'] ; ['Norfolk County, MA'] ; ['Suffolk County, MA'] ; ['New York County, NY'] ; ['Contra Costa County, CA'] ; ['Washoe County, NV'] ; ['Washoe County, NV'] ; ['Contra Costa County, CA'] ; ['Yolo County, CA'] ; ['Yolo County, CA'] ; ['Yolo County, CA'] ; ['Yolo County, CA']"
3/6/2020 22:00,484,0,0,15,1,1,0,"['Los Angeles, CA'] ; ['Placer County, CA'] ; ['King County, WA'] ; ['Placer County, CA'] ; ['Snohomish County, WA'] ; ['Placer County, CA'] ; ['Ramsey County, MN'] ; ['Fayette County, KY'] ; ['Fayette County, KY'] ; ['Fayette County, KY'] ; ['Ramsey County, MN'] ; ['Ramsey County, MN'] ; ['Ramsey County, MN'] ; ['Fayette County, KY'] ; ['Douglas County, NE'] ; ['Douglas County, NE'] ; ['Douglas County, NE'] ; ['Denver County, CO'] ; ['Denver County, CO'] ; ['Denver County, CO'] ; ['Denver County, CO'] ; ['Nassau County, NY'] ; ['El Paso County, CO'] ; ['El Paso County, CO'] ; ['El Paso County, CO'] ; ['Grand Princess Cruise Ship'] ; ['Grand Princess Cruise Ship'] ; ['Grand Princess Cruise Ship'] ; ['Charleston County, SC'] ; ['Douglas County, CO'] ; ['Charleston County, SC'] ; ['Charleston County, SC'] ; ['Douglas County, CO'] ; ['Douglas County, CO'] ; ['Cook County, IL'] ; ['Honolulu County, HI'] ; ['Kershaw County, SC'] ; ['Honolulu County, HI'] ; ['Kershaw County, SC'] ; ['Fort Bend County, TX'] ; ['Providence County, RI'] ; ['Providence County, RI'] ; ['Providence County, RI'] ; ['Bergen County, NJ'] ; ['Pierce County, WA'] ; ['Plymouth County, MA'] ; ['Plymouth County, MA'] ; ['Middlesex County, MA'] ; ['Plymouth County, MA'] ; ['Davis County, UT'] ; ['Tulsa County, OK'] ; ['Broward County, FL'] ; ['Davis County, UT'] ; ['Broward County, FL'] ; ['Davis County, UT'] ; ['Tulsa County, OK'] ; ['Tulsa County, OK'] ; ['Harris County, TX'] ; ['Harris County, TX'] ; ['Alameda County, CA'] ; ['Alameda County, CA'] ; ['Alameda County, CA'] ; ['Lee County, FL'] ; ['Rockland County, NY'] ; ['Jefferson County, WA'] ; ['Jefferson County, WA'] ; ['Rockland County, NY'] ; ['Jefferson County, WA'] ; ['Cobb County, GA'] ; ['Fulton County, GA'] ; ['Cobb County, GA'] ; ['Fulton County, GA'] ; ['Floyd County, GA'] ; ['Pinal County, AZ'] ; ['Pinal County, AZ'] ; ['Pinal County, AZ'] ; ['Saratoga County, NY'] ; ['Saratoga County, NY'] ; ['Westchester County, NY'] ; ['New York County, NY'] ; ['Saratoga County, NY'] ; ['Maricopa County, AZ'] ; ['Montgomery County, TX'] ; ['Maricopa County, AZ'] ; ['Montgomery County, TX'] ; ['Maricopa County, AZ'] ; ['Montgomery County, TX'] ; ['Jackson County, OR'] ; ['Clark County, WA'] ; ['Clark County, WA'] ; ['Clark County, WA'] ; ['Fairfield County, CT'] ; ['Klamath County, OR'] ; ['Washington County, OR'] ; ['Klamath County, OR'] ; ['Madera County, CA'] ; ['Klamath County, OR'] ; ['Madera County, CA'] ; ['Madera County, CA'] ; ['Snohomish County, WA'] ; ['King County, WA']"
3/7/2020 22:00,721,0,0,21,7,1,0,"['Santa Clara County, CA'] ; ['Santa Cruz County, CA'] ; ['San Francisco County, CA'] ; ['Los Angeles, CA'] ; ['Jackson County, OR'] ; ['Jackson County, OR'] ; ['Johnson County, KS'] ; ['Johnson County, KS'] ; ['Kittitas County, WA'] ; ['Berkshire County, MA'] ; ['Berkshire County, MA'] ; ['Kittitas County, WA'] ; ['Los Angeles, CA'] ; ['Los Angeles, CA'] ; ['San Francisco County, CA'] ; ['San Francisco County, CA'] ; ['Okaloosa County, FL'] ; ['Volusia County, FL'] ; ['Okaloosa County, FL'] ; ['Volusia County, FL'] ; ['Polk County, GA'] ; ['Polk County, GA'] ; ['New York County, NY'] ; ['Fresno County, CA'] ; ['Fresno County, CA'] ; ['Unassigned Location, VT'] ; ['Manatee County, FL'] ; ['Riverside County, CA'] ; ['Riverside County, CA'] ; ['St. Louis County, MO'] ; ['St. Louis County, MO'] ; ['Washington, D.C.'] ; ['Washington, D.C.'] ; ['Santa Rosa County, FL'] ; ['Santa Rosa County, FL'] ; ['Lee County, FL'] ; ['Lee County, FL'] ; ['Nassau County, NY'] ; ['Suffolk County, NY'] ; ['Suffolk County, NY'] ; ['Shelby County, TN'] ; ['Shelby County, TN'] ; ['Ulster County, NY'] ; ['Ulster County, NY'] ; ['Fort Bend County, TX'] ; ['Fort Bend County, TX'] ; ['Grafton County, NH'] ; ['Grafton County, NH'] ; ['Rockingham County, NH'] ; ['Davidson County, TN'] ; ['Davidson County, TN'] ; ['Westchester County, NY'] ; ['Hendricks County, IN'] ; ['Washington County, OR'] ; ['Hudson County, NJ'] ; ['Hudson County, NJ'] ; ['Marion County, OR'] ; ['Marion County, OR'] ; ['Washington County, OR'] ; ['Douglas County, OR'] ; ['Douglas County, OR'] ; ['King County, WA'] ; ['Cook County, IL'] ; ['King County, WA'] ; ['Cook County, IL'] ; ['Middlesex County, MA'] ; ['Middlesex County, MA'] ; ['Norfolk County, MA'] ; ['Suffolk County, MA'] ; ['Suffolk County, MA'] ; ['Norfolk County, MA'] ; ['Unknown Location, MA'] ; ['Santa Clara County, CA'] ; ['Unknown Location, MA'] ; ['Fairfield County, CT'] ; ['Bergen County, NJ'] ; ['Fairfield County, CT'] ; ['Bergen County, NJ'] ; ['Santa Clara County, CA'] ; ['Fairfax County, VA'] ; ['Fairfax County, VA'] ; ['Washoe County, NV'] ; ['Pierce County, WA'] ; ['Snohomish County, WA'] ; ['Clark County, NV'] ; ['Pierce County, WA'] ; ['Montgomery County, PA'] ; ['Washoe County, NV'] ; ['Clark County, NV'] ; ['Snohomish County, WA'] ; ['Contra Costa County, CA'] ; ['Contra Costa County, CA'] ; ['Harford County, MD'] ; ['Harford County, MD'] ; ['Spokane County, WA'] ; ['Spokane County, WA'] ; ['Montgomery County, MD'] ; ['Montgomery County, MD']"
