Sno,Date,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,Selected
continuous,discrete,discrete,discrete,discrete,continuous,continuous,continuous,discrete
,,,,,,,,class
119.0,1/24/2020 12:00 PM,,Japan,1/24/2020 12:00 PM,2.0,0.0,0.0,No
120.0,1/24/2020 12:00 PM,,Thailand,1/24/2020 12:00 PM,5.0,0.0,0.0,No
121.0,1/24/2020 12:00 PM,,South Korea,1/24/2020 12:00 PM,2.0,0.0,0.0,No
122.0,1/24/2020 12:00 PM,,Singapore,1/24/2020 12:00 PM,3.0,0.0,0.0,No
134.0,1/25/2020 10:00 PM,Shanghai,Mainland China,1/25/2020 12:00 PM,40.0,1.0,1.0,No
135.0,1/25/2020 10:00 PM,Shandong,Mainland China,1/25/2020 12:00 PM,39.0,0.0,0.0,No
136.0,1/25/2020 10:00 PM,Jiangxi,Mainland China,1/25/2020 12:00 PM,36.0,0.0,0.0,No
141.0,1/25/2020 10:00 PM,Fujian,Mainland China,1/25/2020 12:00 PM,18.0,1.0,0.0,No
142.0,1/25/2020 10:00 PM,Heilongjiang,Mainland China,1/25/2020 12:00 PM,15.0,0.0,0.0,No
143.0,1/25/2020 10:00 PM,Shaanxi,Mainland China,1/25/2020 12:00 PM,15.0,0.0,0.0,No
146.0,1/25/2020 10:00 PM,Yunnan,Mainland China,1/25/2020 12:00 PM,11.0,0.0,0.0,No
147.0,1/25/2020 10:00 PM,Shanxi,Mainland China,1/25/2020 12:00 PM,9.0,0.0,0.0,No
149.0,1/25/2020 10:00 PM,Gansu,Mainland China,1/25/2020 12:00 PM,7.0,0.0,0.0,No
150.0,1/25/2020 10:00 PM,Guizhou,Mainland China,1/25/2020 12:00 PM,5.0,0.0,0.0,No
151.0,1/25/2020 10:00 PM,Hong Kong,Hong Kong,1/25/2020 12:00 PM,5.0,0.0,0.0,No
152.0,1/25/2020 10:00 PM,Ningxia,Mainland China,1/25/2020 12:00 PM,4.0,0.0,0.0,No
153.0,1/25/2020 10:00 PM,Jilin,Mainland China,1/25/2020 12:00 PM,4.0,0.0,0.0,No
154.0,1/25/2020 10:00 PM,Xinjiang,Mainland China,1/25/2020 12:00 PM,4.0,0.0,0.0,No
155.0,1/25/2020 10:00 PM,Taiwan,Taiwan,1/25/2020 12:00 PM,3.0,0.0,0.0,No
156.0,1/25/2020 10:00 PM,Macau,Macau,1/25/2020 12:00 PM,2.0,0.0,0.0,No
160.0,1/25/2020 10:00 PM,,Japan,1/25/2020 12:00 PM,2.0,0.0,0.0,No
161.0,1/25/2020 10:00 PM,,Thailand,1/25/2020 12:00 PM,7.0,0.0,0.0,No
162.0,1/25/2020 10:00 PM,,South Korea,1/25/2020 12:00 PM,3.0,0.0,0.0,No
163.0,1/25/2020 10:00 PM,,Singapore,1/25/2020 12:00 PM,3.0,0.0,0.0,No
164.0,1/25/2020 10:00 PM,,Vietnam,1/25/2020 12:00 PM,2.0,0.0,0.0,No
166.0,1/25/2020 10:00 PM,,Australia,1/25/2020 12:00 PM,4.0,0.0,0.0,No
176.0,1/26/2020 23:00,Sichuan,Mainland China,1/26/2020 23:00,69.0,0.0,0.0,No
181.0,1/26/2020 23:00,Jiangsu,Mainland China,1/26/2020 23:00,47.0,0.0,1.0,No
186.0,1/26/2020 23:00,Shaanxi,Mainland China,1/26/2020 23:00,22.0,0.0,0.0,No
187.0,1/26/2020 23:00,Heilongjiang,Mainland China,1/26/2020 23:00,21.0,1.0,0.0,No
188.0,1/26/2020 23:00,Yunnan,Mainland China,1/26/2020 23:00,19.0,0.0,0.0,No
192.0,1/26/2020 23:00,Shanxi,Mainland China,1/26/2020 23:00,13.0,0.0,0.0,No
193.0,1/26/2020 23:00,Inner Mongolia,Mainland China,1/26/2020 23:00,11.0,0.0,0.0,No
196.0,1/26/2020 23:00,Jilin,Mainland China,1/26/2020 23:00,6.0,0.0,0.0,No
197.0,1/26/2020 23:00,Macau,Macau,1/26/2020 23:00,6.0,0.0,0.0,No
198.0,1/26/2020 23:00,Xinjiang,Mainland China,1/26/2020 23:00,5.0,0.0,0.0,No
199.0,1/26/2020 23:00,Ningxia,Mainland China,1/26/2020 23:00,4.0,0.0,0.0,No
200.0,1/26/2020 23:00,Taiwan,Taiwan,1/26/2020 23:00,4.0,0.0,0.0,No
201.0,1/26/2020 23:00,Qinghai,Mainland China,1/26/2020 23:00,4.0,0.0,0.0,No
206.0,1/26/2020 23:00,,Japan,1/26/2020 23:00,4.0,0.0,1.0,No
208.0,1/26/2020 23:00,,South Korea,1/26/2020 23:00,3.0,0.0,0.0,No
209.0,1/26/2020 23:00,,Singapore,1/26/2020 23:00,4.0,0.0,0.0,No
210.0,1/26/2020 23:00,,Vietnam,1/26/2020 23:00,2.0,0.0,0.0,No
212.0,1/26/2020 23:00,,Australia,1/26/2020 23:00,4.0,0.0,0.0,No
227.0,1/27/2020 20:30,Jiangsu,Mainland China,1/27/2020 20:30,70.0,0.0,1.0,No
233.0,1/27/2020 20:30,Hebei,Mainland China,1/27/2020 20:30,33.0,1.0,0.0,No
234.0,1/27/2020 20:30,Heilongjiang,Mainland China,1/27/2020 20:30,30.0,1.0,0.0,No
235.0,1/27/2020 20:30,Liaoning,Mainland China,1/27/2020 20:30,27.0,0.0,0.0,No
237.0,1/27/2020 20:30,Tianjin,Mainland China,1/27/2020 20:30,23.0,0.0,0.0,No
238.0,1/27/2020 20:30,Shanxi,Mainland China,1/27/2020 20:30,20.0,0.0,0.0,No
239.0,1/27/2020 20:30,Gansu,Mainland China,1/27/2020 20:30,19.0,0.0,0.0,No
243.0,1/27/2020 20:30,Ningxia,Mainland China,1/27/2020 20:30,7.0,0.0,0.0,No
244.0,1/27/2020 20:30,Jilin,Mainland China,1/27/2020 20:30,6.0,0.0,0.0,No
245.0,1/27/2020 20:30,Macau,Macau,1/27/2020 20:30,6.0,0.0,0.0,No
246.0,1/27/2020 20:30,Qinghai,Mainland China,1/27/2020 20:30,6.0,0.0,0.0,No
247.0,1/27/2020 20:30,Taiwan,Taiwan,1/27/2020 20:30,5.0,0.0,0.0,No
248.0,1/27/2020 20:30,Xinjiang,Mainland China,1/27/2020 20:30,5.0,0.0,0.0,No
253.0,1/27/2020 20:30,,Japan,1/27/2020 20:30,4.0,0.0,1.0,No
255.0,1/27/2020 20:30,,South Korea,1/27/2020 20:30,4.0,0.0,0.0,No
256.0,1/27/2020 20:30,,Singapore,1/27/2020 20:30,5.0,0.0,0.0,No
257.0,1/27/2020 20:30,,Vietnam,1/27/2020 20:30,2.0,0.0,0.0,No
259.0,1/27/2020 20:30,,Nepal,1/27/2020 20:30,1.0,0.0,0.0,No
260.0,1/27/2020 20:30,,Malaysia,1/27/2020 20:30,4.0,0.0,0.0,No
262.0,1/27/2020 20:30,,Cambodia,1/27/2020 20:30,1.0,0.0,0.0,No
263.0,1/27/2020 20:30,,Sri Lanka,1/27/2020 20:30,1.0,0.0,0.0,No
265.0,1/27/2020 20:30,New South Wales,Australia,1/27/2020 20:30,4.0,0.0,0.0,No
266.0,1/27/2020 20:30,Victoria,Australia,1/27/2020 20:30,1.0,0.0,0.0,No
285.0,1/28/2020 23:00,Yunnan,Mainland China,1/28/2020 23:00,44.0,0.0,0.0,No
286.0,1/28/2020 23:00,Hainan,Mainland China,1/28/2020 23:00,43.0,1.0,0.0,No
287.0,1/28/2020 23:00,Heilongjiang,Mainland China,1/28/2020 23:00,37.0,1.0,0.0,No
289.0,1/28/2020 23:00,Shanxi,Mainland China,1/28/2020 23:00,27.0,0.0,0.0,No
290.0,1/28/2020 23:00,Tianjin,Mainland China,1/28/2020 23:00,25.0,0.0,0.0,No
291.0,1/28/2020 23:00,Gansu,Mainland China,1/28/2020 23:00,24.0,0.0,0.0,No
292.0,1/28/2020 23:00,Inner Mongolia,Mainland China,1/28/2020 23:00,16.0,0.0,0.0,No
294.0,1/28/2020 23:00,Ningxia,Mainland China,1/28/2020 23:00,12.0,0.0,0.0,No
295.0,1/28/2020 23:00,Guizhou,Mainland China,1/28/2020 23:00,9.0,0.0,0.0,No
296.0,1/28/2020 23:00,Jilin,Mainland China,1/28/2020 23:00,9.0,0.0,0.0,No
297.0,1/28/2020 23:00,Hong Kong,Hong Kong,1/28/2020 23:00,8.0,0.0,0.0,No
298.0,1/28/2020 23:00,Taiwan,Taiwan,1/28/2020 23:00,8.0,0.0,0.0,No
299.0,1/28/2020 23:00,Macau,Macau,1/28/2020 23:00,7.0,0.0,0.0,No
300.0,1/28/2020 23:00,Qinghai,Mainland China,1/28/2020 23:00,6.0,0.0,0.0,No
305.0,1/28/2020 23:00,,Japan,1/28/2020 23:00,7.0,0.0,1.0,No
307.0,1/28/2020 23:00,,South Korea,1/28/2020 23:00,4.0,0.0,0.0,No
308.0,1/28/2020 23:00,,Singapore,1/28/2020 23:00,7.0,0.0,0.0,No
309.0,1/28/2020 23:00,,Vietnam,1/28/2020 23:00,2.0,0.0,0.0,No
315.0,1/28/2020 23:00,,Cambodia,1/28/2020 23:00,1.0,0.0,0.0,No
317.0,1/28/2020 23:00,New South Wales,Australia,1/28/2020 23:00,4.0,0.0,0.0,No
340.0,1/29/2020 21:00,Liaoning,Mainland China,1/29/2020 21:00,39.0,0.0,1.0,No
343.0,1/29/2020 21:00,Gansu,Mainland China,1/29/2020 21:00,26.0,0.0,0.0,No
344.0,1/29/2020 21:00,Inner Mongolia,Mainland China,1/29/2020 21:00,16.0,0.0,0.0,No
346.0,1/29/2020 21:00,Xinjiang,Mainland China,1/29/2020 21:00,14.0,0.0,0.0,No
348.0,1/29/2020 21:00,Ningxia,Mainland China,1/29/2020 21:00,12.0,0.0,0.0,No
351.0,1/29/2020 21:00,Macau,Macau,1/29/2020 21:00,7.0,0.0,0.0,No
352.0,1/29/2020 21:00,Qinghai,Mainland China,1/29/2020 21:00,6.0,0.0,0.0,No
358.0,1/29/2020 21:00,,Japan,1/29/2020 21:00,11.0,0.0,1.0,No
360.0,1/29/2020 21:00,,South Korea,1/29/2020 21:00,4.0,0.0,0.0,No
362.0,1/29/2020 21:00,,Vietnam,1/29/2020 21:00,2.0,0.0,0.0,No
364.0,1/29/2020 21:00,,Nepal,1/29/2020 21:00,1.0,0.0,0.0,No
365.0,1/29/2020 21:00,,Malaysia,1/29/2020 21:00,7.0,0.0,0.0,No
368.0,1/29/2020 21:00,,Cambodia,1/29/2020 21:00,1.0,0.0,0.0,No
369.0,1/29/2020 21:00,,Sri Lanka,1/29/2020 21:00,1.0,0.0,0.0,No
370.0,1/29/2020 21:00,New South Wales,Australia,1/29/2020 21:00,4.0,0.0,0.0,No
371.0,1/29/2020 21:00,Victoria,Australia,1/29/2020 21:00,2.0,0.0,0.0,No
372.0,1/29/2020 21:00,Queensland,Australia,1/29/2020 21:00,1.0,0.0,0.0,No
391.0,1/30/2020 21:30,Hebei,Mainland China,1/30/2020 21:30,82.0,1.0,0.0,No
399.0,1/30/2020 21:30,Gansu,Mainland China,1/30/2020 21:30,29.0,0.0,0.0,No
401.0,1/30/2020 21:30,Inner Mongolia,Mainland China,1/30/2020 21:30,20.0,0.0,0.0,No
404.0,1/30/2020 21:30,Jilin,Mainland China,1/30/2020 21:30,14.0,0.0,1.0,No
406.0,1/30/2020 21:30,Taiwan,Taiwan,1/30/2020 21:30,9.0,0.0,0.0,No
407.0,1/30/2020 21:30,Qinghai,Mainland China,1/30/2020 21:30,8.0,0.0,0.0,No
408.0,1/30/2020 21:30,Macau,Macau,1/30/2020 21:30,7.0,0.0,0.0,No
414.0,1/30/2020 21:30,,Japan,1/30/2020 21:30,11.0,0.0,1.0,No
416.0,1/30/2020 21:30,,South Korea,1/30/2020 21:30,6.0,0.0,0.0,No
418.0,1/30/2020 21:30,,Vietnam,1/30/2020 21:30,2.0,0.0,0.0,No
420.0,1/30/2020 21:30,,Nepal,1/30/2020 21:30,1.0,0.0,0.0,No
421.0,1/30/2020 21:30,,Malaysia,1/30/2020 21:30,8.0,0.0,0.0,No
424.0,1/30/2020 21:30,,Cambodia,1/30/2020 21:30,1.0,0.0,0.0,No
425.0,1/30/2020 21:30,,Sri Lanka,1/30/2020 21:30,1.0,0.0,0.0,No
426.0,1/30/2020 21:30,New South Wales,Australia,1/30/2020 21:30,4.0,0.0,2.0,No
427.0,1/30/2020 21:30,Victoria,Australia,1/30/2020 21:30,2.0,0.0,0.0,No
428.0,1/30/2020 21:30,Queensland,Australia,1/30/2020 21:30,3.0,0.0,0.0,No
430.0,1/30/2020 21:30,,Finland,1/30/2020 21:30,1.0,0.0,0.0,No
432.0,1/30/2020 21:30,,Philippines,1/30/2020 21:30,1.0,0.0,0.0,No
451.0,1/31/2020 19:00,Shaanxi,Mainland China,1/31/2020 19:00,87.0,0.0,0.0,No
455.0,1/31/2020 19:00,Hainan,Mainland China,1/31/2020 19:00,58.0,1.0,1.0,No
459.0,1/31/2020 19:00,Guizhou,Mainland China,1/31/2020 19:00,29.0,0.0,2.0,No
461.0,1/31/2020 19:00,Inner Mongolia,Mainland China,1/31/2020 19:00,20.0,0.0,0.0,No
462.0,1/31/2020 19:00,Xinjiang,Mainland China,1/31/2020 19:00,17.0,0.0,0.0,No
463.0,1/31/2020 19:00,Jilin,Mainland China,1/31/2020 19:00,14.0,0.0,1.0,No
464.0,1/31/2020 19:00,Hong Kong,Hong Kong,1/31/2020 19:00,13.0,0.0,0.0,No
465.0,1/31/2020 19:00,Taiwan,Taiwan,1/31/2020 19:00,10.0,0.0,0.0,No
466.0,1/31/2020 19:00,Qinghai,Mainland China,1/31/2020 19:00,8.0,0.0,0.0,No
467.0,1/31/2020 19:00,Macau,Macau,1/31/2020 19:00,7.0,0.0,0.0,No
473.0,1/31/2020 19:00,,Japan,1/31/2020 19:00,17.0,0.0,1.0,No
475.0,1/31/2020 19:00,,South Korea,1/31/2020 19:00,11.0,0.0,0.0,No
477.0,1/31/2020 19:00,,Vietnam,1/31/2020 19:00,2.0,0.0,0.0,No
479.0,1/31/2020 19:00,,Nepal,1/31/2020 19:00,1.0,0.0,0.0,No
483.0,1/31/2020 19:00,,Cambodia,1/31/2020 19:00,1.0,0.0,0.0,No
484.0,1/31/2020 19:00,,Sri Lanka,1/31/2020 19:00,1.0,0.0,0.0,No
485.0,1/31/2020 19:00,New South Wales,Australia,1/31/2020 19:00,4.0,0.0,2.0,No
486.0,1/31/2020 19:00,Victoria,Australia,1/31/2020 19:00,2.0,0.0,0.0,No
487.0,1/31/2020 19:00,Queensland,Australia,1/31/2020 19:00,3.0,0.0,0.0,No
489.0,1/31/2020 19:00,,Finland,1/31/2020 19:00,1.0,0.0,0.0,No
491.0,1/31/2020 19:00,,Philippines,1/31/2020 19:00,1.0,0.0,0.0,No
492.0,1/31/2020 19:00,,India,1/31/2020 19:00,1.0,0.0,0.0,No
495.0,1/31/2020 19:00,,Russia,1/31/2020 19:00,2.0,0.0,0.0,No
521.0,2020-01-02 23:00:00,Gansu,Mainland China,2020-01-02 15:43:00,40.0,0.0,0.0,No
524.0,2020-01-02 23:00:00,Inner Mongolia,Mainland China,2020-02-02 03:43:00,27.0,0.0,1.0,No
525.0,2020-01-02 23:00:00,Jilin,Mainland China,2020-02-02 02:33:00,23.0,0.0,1.0,No
526.0,2020-01-02 23:00:00,Xinjiang,Mainland China,2020-02-02 00:43:00,21.0,0.0,0.0,No
527.0,2020-01-02 23:00:00,,Japan,2020-01-02 18:53:00,20.0,0.0,1.0,No
535.0,2020-01-02 23:00:00,,Malaysia,1/31/2020 8:15,8.0,0.0,0.0,No
538.0,2020-01-02 23:00:00,,Vietnam,2020-01-02 07:38:00,6.0,0.0,1.0,No
539.0,2020-01-02 23:00:00,New South Wales,Australia,2020-01-02 18:12:00,4.0,0.0,2.0,No
540.0,2020-01-02 23:00:00,Victoria,Australia,2020-01-02 18:12:00,4.0,0.0,0.0,No
542.0,2020-01-02 23:00:00,Queensland,Australia,2020-01-02 18:12:00,2.0,0.0,0.0,No
545.0,2020-01-02 23:00:00,,Philippines,2020-02-02 03:33:00,2.0,1.0,0.0,No
546.0,2020-01-02 23:00:00,,Russia,1/31/2020 16:13,2.0,0.0,0.0,No
549.0,2020-01-02 23:00:00,South Australia,Australia,2020-01-02 18:12:00,2.0,0.0,0.0,No
553.0,2020-01-02 23:00:00,,India,1/31/2020 8:15,1.0,0.0,0.0,No
555.0,2020-01-02 23:00:00,,Nepal,1/31/2020 8:15,1.0,0.0,0.0,No
557.0,2020-01-02 23:00:00,,Sri Lanka,1/31/2020 8:15,1.0,0.0,0.0,No
