Country,Province/State,Last Update,Confirmed,Deaths,Recovered,nDate
Mainland China,Shandong,1/30/2020 21:30,178,0,2,30
Mainland China,Shandong,1/26/2020 23:00,63,0,0,26
Mainland China,Shandong,3/2/2020 1:13,246,0,6,36
Mainland China,Shandong,1/27/2020 20:30,87,1,0,27
Mainland China,Shanghai,1/25/2020 12:00,40,1,1,25
Mainland China,Tianjin,1/24/2020 12:00,8,0,0,24
Mainland China,Shanxi,2/3/2020 23:13,74,0,2,34
Mainland China,Shanxi,1/29/2020 21:00,35,0,1,29
Mainland China,Tianjin,2/3/2020 13:53,60,0,1,34
Mainland China,Tianjin,1/31/2020 19:00,32,0,0,31
Mainland China,Tianjin,1/27/2020 20:30,23,0,0,27
Mainland China,Tianjin,1/29/2020 21:00,27,0,0,29
Mainland China,Tianjin,1/25/2020 12:00,13,0,0,25
Mainland China,Sichuan,2/4/2020 1:43,282,1,14,35
Mainland China,Sichuan,1/28/2020 23:00,108,0,0,28
Mainland China,Sichuan,1/31/2020 19:00,177,1,1,31
Mainland China,Sichuan,1/29/2020 21:00,142,1,1,29
Mainland China,Shanxi,1/25/2020 12:00,9,0,0,25
Mainland China,Sichuan,1/30/2020 21:30,177,1,1,30
Mainland China,Sichuan,2/2/2020 1:03,231,1,3,33
Mainland China,Sichuan,3/2/2020 1:03,254,1,12,36
Mainland China,Sichuan,1/27/2020 20:30,90,0,0,27
Mainland China,Sichuan,1/23/2020 12:00,8,0,0,23
Mainland China,Sichuan,1/25/2020 12:00,44,0,0,25
Mainland China,Sichuan,1/26/2020 23:00,69,0,0,26
Mainland China,Shanxi,1/26/2020 23:00,13,0,0,26
Mainland China,Shanxi,1/31/2020 19:00,47,0,1,31
Mainland China,Shanxi,1/2/2020 23:33,56,0,1,2
Mainland China,Sichuan,1/24/2020 12:00,15,0,0,24
Mainland China,Jiangxi,1/30/2020 21:30,240,0,7,30
Mainland China,Jiangsu,2/2/2020 1:13,236,0,6,33
Mainland China,Jiangsu,1/29/2020 21:00,129,0,1,29
Mainland China,Guangdong,1/30/2020 21:30,393,0,11,30
Mainland China,Guangdong,1/28/2020 23:00,241,0,5,28
Mainland China,Guangdong,2/4/2020 1:43,797,0,21,35
Mainland China,Guangdong,1/29/2020 21:00,311,0,6,29
Mainland China,Guangdong,1/31/2020 19:00,436,0,10,31
Mainland China,Guangdong,1/24/2020 12:00,53,0,2,24
Mainland China,Guangdong,1/27/2020 20:30,151,0,4,27
Mainland China,Guangdong,1/26/2020 23:00,146,0,2,26
Mainland China,Guangdong,2/2/2020 1:23,604,0,14,33
