,Unnamed: 0,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,nDate,lat,lon
125,127,Liaoning,Mainland China,1/27/2020 20:30,27,0,0,27,40.9975197,122.9955469
126,128,Tianjin,Mainland China,1/27/2020 20:30,23,0,0,27,39.1235635,117.1980785
127,129,Shanxi,Mainland China,1/27/2020 20:30,20,0,0,27,37,112
128,130,Gansu,Mainland China,1/27/2020 20:30,19,0,0,27,38.0000001,101.9999999
129,131,Ningxia,Mainland China,1/27/2020 20:30,7,0,0,27,37.0000001,105.9999999
130,132,Jilin,Mainland China,1/27/2020 20:30,6,0,0,27,42.9995032,125.9816054
131,133,Macau,Macau,1/27/2020 20:30,6,0,0,27,22.1757605,113.5514142
132,134,Qinghai,Mainland China,1/27/2020 20:30,6,0,0,27,35.40709525,95.95211573
133,135,Taiwan,Taiwan,1/27/2020 20:30,5,0,0,27,23.9739374,120.9820179
134,136,Xinjiang,Mainland China,1/27/2020 20:30,5,0,0,27,41.7574769,87.16738423
135,137,missing_value,Japan,1/27/2020 20:30,4,0,1,27,0,0
136,138,missing_value,South Korea,1/27/2020 20:30,4,0,0,27,0,0
137,139,missing_value,Singapore,1/27/2020 20:30,5,0,0,27,0,0
138,140,missing_value,Vietnam,1/27/2020 20:30,2,0,0,27,0,0
139,141,missing_value,Nepal,1/27/2020 20:30,1,0,0,27,0,0
140,142,missing_value,Malaysia,1/27/2020 20:30,4,0,0,27,0,0
141,143,missing_value,Cambodia,1/27/2020 20:30,1,0,0,27,0,0
142,144,missing_value,Sri Lanka,1/27/2020 20:30,1,0,0,27,0,0
143,145,New South Wales,Australia,1/27/2020 20:30,4,0,0,27,-31.8759835,147.2869493
144,146,Victoria,Australia,1/27/2020 20:30,1,0,0,27,-36.5986096,144.6780052
145,147,Yunnan,Mainland China,1/28/2020 23:00,44,0,0,28,25,102
146,148,Hainan,Mainland China,1/28/2020 23:00,43,1,0,28,19.2000001,109.5999999
147,149,Heilongjiang,Mainland China,1/28/2020 23:00,37,1,0,28,48.0000047,127.999992
148,150,Shanxi,Mainland China,1/28/2020 23:00,27,0,0,28,37,112
149,151,Tianjin,Mainland China,1/28/2020 23:00,25,0,0,28,39.1235635,117.1980785
150,152,Gansu,Mainland China,1/28/2020 23:00,24,0,0,28,38.0000001,101.9999999
151,153,Inner Mongolia,Mainland China,1/28/2020 23:00,16,0,0,28,43.2443242,114.3251664
152,154,Ningxia,Mainland China,1/28/2020 23:00,12,0,0,28,37.0000001,105.9999999
153,155,Guizhou,Mainland China,1/28/2020 23:00,9,0,0,28,27,107
154,156,Jilin,Mainland China,1/28/2020 23:00,9,0,0,28,42.9995032,125.9816054
155,157,Hong Kong,Hong Kong,1/28/2020 23:00,8,0,0,28,22.2793278,114.1628131
156,158,Taiwan,Taiwan,1/28/2020 23:00,8,0,0,28,23.9739374,120.9820179
157,159,Macau,Macau,1/28/2020 23:00,7,0,0,28,22.1757605,113.5514142
158,160,Qinghai,Mainland China,1/28/2020 23:00,6,0,0,28,35.40709525,95.95211573
159,161,missing_value,Japan,1/28/2020 23:00,7,0,1,28,0,0
160,162,missing_value,South Korea,1/28/2020 23:00,4,0,0,28,0,0
161,163,missing_value,Singapore,1/28/2020 23:00,7,0,0,28,0,0
162,164,missing_value,Vietnam,1/28/2020 23:00,2,0,0,28,0,0
163,165,missing_value,Cambodia,1/28/2020 23:00,1,0,0,28,0,0
164,166,New South Wales,Australia,1/28/2020 23:00,4,0,0,28,-31.8759835,147.2869493
165,167,Liaoning,Mainland China,1/29/2020 21:00,39,0,1,29,40.9975197,122.9955469
166,168,Gansu,Mainland China,1/29/2020 21:00,26,0,0,29,38.0000001,101.9999999
167,169,Inner Mongolia,Mainland China,1/29/2020 21:00,16,0,0,29,43.2443242,114.3251664
168,170,Xinjiang,Mainland China,1/29/2020 21:00,14,0,0,29,41.7574769,87.16738423
169,171,Ningxia,Mainland China,1/29/2020 21:00,12,0,0,29,37.0000001,105.9999999
170,172,Macau,Macau,1/29/2020 21:00,7,0,0,29,22.1757605,113.5514142
171,173,Qinghai,Mainland China,1/29/2020 21:00,6,0,0,29,35.40709525,95.95211573
172,174,missing_value,Japan,1/29/2020 21:00,11,0,1,29,0,0
173,175,missing_value,South Korea,1/29/2020 21:00,4,0,0,29,0,0
174,176,missing_value,Vietnam,1/29/2020 21:00,2,0,0,29,0,0
175,177,missing_value,Nepal,1/29/2020 21:00,1,0,0,29,0,0
